tract_id,total_population,median_income,income_weight,pop_weight,equity_weight
2000100,4446.0,78750.0,0.6559358032290222,0.2788334901222954,0.4673846466756588
2000200,4870.0,115064.0,0.5840920366556355,0.30542489808717466,0.44475846737140506
2000400,6257.0,100553.0,0.6065757415370909,0.39241141423643777,0.49949357788676435
2001600,6177.0,41362.0,0.8617072803159138,0.3873941674506115,0.6245507238832626
2001901,2181.0,49500.0,0.790452174376892,0.1367826904985889,0.46361743243774045
2001902,1883.0,67375.0,0.6943690521284136,0.11809344622138601,0.40623124917489983
2001903,3529.0,78750.0,0.6559358032290222,0.22132329883976168,0.43862955103439194
2001904,3529.0,78750.0,0.6559358032290222,0.22132329883976168,0.43862955103439194
2002001,4461.0,24684.0,1.154548316768082,0.2797742238946378,0.7171612703313599
2002002,3915.0,78750.0,0.6559358032290222,0.24553151458137348,0.45073365890519784
2002300,4528.0,19743.0,1.3363053412973995,0.2839761680777673,0.8101407546875834
2002400,3529.0,78750.0,0.6559358032290222,0.22132329883976168,0.43862955103439194
2002500,5642.0,27378.0,1.0830846380862742,0.35384132957039827,0.7184629838283363
2002701,3335.0,21427.0,1.2649424223142358,0.20915647538413296,0.7370494488491843
2002702,5000.0,29206.0,1.0421012908983136,0.31357792411414237,0.677839607506228
2002800,5230.0,64308.0,0.7070588594662959,0.3280025086233929,0.5175306840448444
2003100,2559.0,41370.0,0.8616234679752377,0.16048918156161807,0.5110563247684279
2003300,3559.0,24122.0,1.17146878973814,0.22320476638444653,0.6973367780612932
2003500,3899.0,34185.0,0.9527008841000878,0.24452806522420822,0.598614474662148
2003700,331.0,78750.0,0.6559358032290222,0.020758858576356225,0.3383473309026892
2003800,1182.0,88077.0,0.6318293157575563,0.07412982126058326,0.35297956850906975
2003900,6227.0,20640.0,1.2968437459945992,0.3905299466917529,0.843686846343176
2004001,1409.0,70536.0,0.6824451082400905,0.08836625901536532,0.3854056836277279
2004100,6583.0,27328.0,1.0842826619528068,0.4128566948886798,0.7485696784207433
2004200,8179.0,52423.0,0.7702588984509069,0.5129507682659141,0.6416048333584106
2004300,5627.0,34890.0,0.9421045023228829,0.3529005957980558,0.6475025490604693
2004400,4592.0,17319.0,1.4633925062349038,0.28798996550642836,0.8756912358706661
2004600,1763.0,17083.0,1.4776923101957546,0.1105675760426466,0.7941299431192006
2004800,4261.0,34436.0,0.9488785339201311,0.2672311069300721,0.6080548204251016
2005001,4565.0,34087.0,0.9542085556672418,0.28629664471621197,0.6202526001917269
2005002,6466.0,36598.0,0.9181253085104165,0.4055189714644089,0.6618221399874127
2005100,6492.0,22850.0,1.2128394667121065,0.40714957666980245,0.8099945216909545
2005200,1931.0,29657.0,1.0327669796610284,0.12110379429288178,0.5769353869769551
2005300,5379.0,26437.0,1.1063913370667589,0.33734713076199435,0.7218692339143766
2005400,5715.0,48750.0,0.7960238583889339,0.3584195672624647,0.5772217128256993
2005600,2311.0,39572.0,0.881312356491794,0.1449357165255566,0.5131240365086753
2005902,2938.0,48456.0,0.7982550156567576,0.18425838820947005,0.4912567019331138
2006000,1297.0,47375.0,0.8066967939898374,0.08134211351520854,0.44401945375252294
2006100,3868.0,66430.0,0.6981541212224203,0.24258388209470053,0.4703690016585604
2006200,6217.0,30236.0,1.0211916853081804,0.38990279084352464,0.7055472380758525
2006301,5845.0,55396.0,0.7519062111164588,0.3665725932894324,0.5592394022029457
2006302,3529.0,78750.0,0.6559358032290222,0.22132329883976168,0.43862955103439194
2006400,3928.0,24730.0,1.153197416737916,0.24634681718407025,0.6997721169609932
2006500,5627.0,22985.0,1.2082315131915093,0.3529005957980558,0.7805660544947826
2006700,6777.0,17390.0,1.4591663943730584,0.42502351834430857,0.9420949563586835
2006800,2493.0,29844.0,1.028979394627035,0.1563499529633114,0.5926646737951732
2006900,7118.0,29627.0,1.033379064177922,0.44640953276889306,0.7398942984734075
2007000,3869.0,57905.0,0.737884170441501,0.24264659767952337,0.4902653840605122
2007100,2872.0,44792.0,0.8285180509031707,0.18011915961116337,0.504318605257167
2007200,6176.0,63449.0,0.7108329160992477,0.38733145186578866,0.5490821839825182
2007300,4444.0,28166.0,1.0647655286458217,0.2787080589526497,0.6717367937992358
2007400,3192.0,53166.0,0.7654798878924944,0.2001881467544685,0.48283401732348147
2007500,6670.0,34484.0,0.9481539045448949,0.4183129507682659,0.6832334276565803
2007600,5109.0,53784.0,0.7616054703386427,0.32041392285983067,0.5410096965992367
2007700,2166.0,48846.0,0.7953011341146781,0.13584195672624647,0.46557154542046225
2007800,6241.0,61328.0,0.7206044359517341,0.3914079648792725,0.5560062004155033
2007900,7086.0,34604.0,0.9463511261691555,0.44440263405456254,0.695376880111859
2008300,6564.0,50920.0,0.7803526764524719,0.4116650987770461,0.596008887614759
2008400,2811.0,67724.0,0.6929978891411646,0.17629350893697085,0.4346456990390677
2008500,5746.0,34543.0,0.9472659732631274,0.3603637503919724,0.6538148618275499
2008600,4304.0,23987.0,1.1756514207582525,0.26992787707745375,0.7227896489178531
2008700,6677.0,36402.0,0.9207627237239648,0.41875195986202574,0.6697573417929953
2008900,3239.0,41484.0,0.8604326545049975,0.20313577924114143,0.5317842168730694
2009000,3692.0,33831.0,0.9581881736380587,0.23154593916588273,0.5948670564019707
2009200,5959.0,56208.0,0.7472311798044018,0.37372216995923485,0.5604766748818183
2009301,5066.0,47185.0,0.8082205149875099,0.31771715271244905,0.5629688338499794
2009302,463.0,78750.0,0.6559358032290222,0.029037315772969582,0.3424865595009959
